<Header>
"FileVersion,2.0"
"SoftwareVersion,2.3.0.44"
"SystemType,Gen3"
</Header>
<Sample_Attributes>
"ID,01003-C3"
"Owner,Administrator"
"Comments,"
"Date,20220128"
"GeneRLF,NS_IO_360_v1.0"
"SystemAPF,n6_vDV1"
"AssayType,Non Specific"
</Sample_Attributes>
<Lane_Attributes>
"ID,7"
"FovCount,194"
"FovCounted,192"
"ScannerID,1706P0203"
"StagePosition,1"
"BindingDensity,0.38"
"CartridgeID,30102613280522-01"
"CartridgeBarcode,30102613280522"
</Lane_Attributes>
<Code_Summary>
"CodeClass,Name,Accession,Count"
"Endogenous,CCNO,NM_021147.4,87"
"Endogenous,MYC,NM_002467.3,55"
"Endogenous,CD79A,NM_001783.3,110"
"Endogenous,FSTL3,NM_005860.2,31"
"Endogenous,VCAN,NM_001126336.2,1618"
"Endogenous,CX3CL1,NM_002996.3,73"
"Endogenous,ERBB2,NM_004448.2,232"
"Endogenous,FAM124B,NM_001122779.1,46"
"Endogenous,AKT1,NM_005163.2,888"
"Endogenous,KDR,NM_002253.2,107"
"Endogenous,EGF,NM_001178130.2,32"
"Endogenous,MAGEA12,NM_001166386.1,12"
"Endogenous,IFNA1,NM_024013.1,20"
"Endogenous,TGFB3,NM_001329938.1,75"
"Endogenous,MFGE8,NM_001114614.1,467"
"Endogenous,CXCL2,NM_002089.1,33"
"Endogenous,CCND2,NM_001759.2,512"
"Endogenous,PDZK1IP1,NM_005764.3,27"
"Endogenous,JAG2,NM_002226.4,16"
"Endogenous,C5,NM_001317163.1,45"
"Endogenous,CD79B,NM_001039933.1,25"
"Endogenous,CXCR2,NM_001557.3,25"
"Endogenous,PSMB10,NM_002801.3,263"
"Endogenous,ZEB1,NM_001128128.2,189"
"Endogenous,ANLN,NM_018685.2,78"
"Endogenous,TAF3,NM_031923.3,27"
"Endogenous,CD276,NM_001024736.1,346"
"Endogenous,ICAM1,NM_000201.2,98"
"Endogenous,IL16,NM_004513.4,287"
"Endogenous,CXCL3,NM_002090.2,12"
"Endogenous,PRR5,NM_015366.3,40"
"Endogenous,CTSW,NM_001335.3,16"
"Endogenous,CXCR4,NM_001008540.1,472"
"Endogenous,IFNGR2,NM_005534.3,700"
"Endogenous,CDH11,NM_001797.2,1167"
"Endogenous,COL6A3,NM_004369.3,1809"
"Endogenous,GZMK,NM_002104.2,149"
"Endogenous,IRF2,NM_002199.3,287"
"Endogenous,RPL7A,NM_000972.2,4053"
"Endogenous,GPR160,NM_014373.1,1002"
"Endogenous,MICA,NM_000247.1,36"
"Endogenous,TAPBPL,NM_018009.4,127"
"Endogenous,CXCL14,NM_004887.4,582"
"Endogenous,CD14,NM_001174105.1,114"
"Endogenous,IL18,NM_001243211.1,297"
"Endogenous,CLEC14A,NM_175060.1,96"
"Endogenous,HMGB1,NM_002128.5,121"
"Endogenous,KIF2C,NM_006845.2,19"
"Endogenous,RNLS,NM_001031709.2,38"
"Endogenous,RPTOR,NM_001163034.1,63"
"Endogenous,CD68,NM_001251.2,235"
"Endogenous,CCL13,NM_005408.2,8"
"Endogenous,CYBB,NM_000397.3,871"
"Endogenous,PLA2G2A,NM_000300.2,30"
"Endogenous,FGF13,NM_001139498.1,20"
"Endogenous,CNTFR,NM_147164.2,23"
"Endogenous,CD244,NM_001166663.1,23"
"Endogenous,CSF2RB,NM_000395.2,20"
"Endogenous,MAP3K7,NM_003188.3,441"
"Endogenous,FASLG,NM_000639.2,59"
"Endogenous,CD209,NM_021155.2,43"
"Endogenous,IRF7,NM_004029.2,175"
"Endogenous,PTCD2,NM_001284403.1,82"
"Endogenous,PIK3R2,NM_005027.3,84"
"Endogenous,LILRA5,NM_181879.2,34"
"Endogenous,IL32,NM_004221.4,1220"
"Endogenous,CCND3,NM_001136017.2,43"
"Endogenous,BIRC5,NM_001168.2,67"
"Endogenous,LGALS9,NM_002308.3,44"
"Endogenous,RASAL1,NM_001193520.1,32"
"Endogenous,PDCD1LG2,NM_025239.3,112"
"Endogenous,IL11,NM_000641.3,29"
"Endogenous,PRKX,NM_005044.4,15"
"Endogenous,SNCA,NM_001146055.1,31"
"Endogenous,ADGRE1,NM_001256252.1,19"
"Endogenous,PSMB9,NM_002800.4,246"
"Endogenous,RUNX3,NM_001031680.2,64"
"Endogenous,PGPEP1,NM_001300927.1,37"
"Endogenous,MELK,NM_014791.2,80"
"Endogenous,ISG15,NM_005101.3,102"
"Endogenous,EIF2B4,NM_001034116.1,68"
"Endogenous,IRF9,NM_006084.4,332"
"Endogenous,IL1A,NM_000575.3,28"
"Endogenous,FCRL2,NM_001159488.1,90"
"Endogenous,EIF4EBP1,NM_004095.3,285"
"Endogenous,LTBP1,NM_000627.3,106"
"Endogenous,CD40LG,NM_000074.2,25"
"Endogenous,HEY1,NM_001040708.1,268"
"Endogenous,HLA-DQA1,NM_002122.3,3675"
"Endogenous,PRLR,NM_000949.5,377"
"Endogenous,TNFRSF11A,NM_001270949.1,42"
"Endogenous,AREG,NM_001657.3,11"
"Endogenous,BBC3,NM_014417.4,122"
"Endogenous,EDN1,NM_001955.2,27"
"Endogenous,PARP12,NM_022750.3,234"
"Endogenous,PIK3CG,NM_001282426.1,170"
"Endogenous,IL4,NM_172348.1,20"
"Endogenous,F2RL1,NM_005242.4,41"
"Endogenous,CXCL6,NM_002993.3,11"
"Endogenous,TNFSF18,NM_005092.3,17"
"Endogenous,JAK3,NM_000215.2,75"
"Endogenous,NKG7,NM_005601.3,349"
"Endogenous,TAPBP,NM_003190.4,372"
"Endogenous,MTOR,NM_004958.3,110"
"Endogenous,SELP,NM_003005.3,32"
"Endogenous,HLA-E,NM_005516.5,1618"
"Endogenous,GOT1,NM_002079.2,165"
"Endogenous,SMAP1,NM_001044305.2,242"
"Endogenous,CDKN1A,NM_000389.2,261"
"Endogenous,CD45RA,NM_002838.4,34"
"Endogenous,HNF1A,NM_000545.6,13"
"Endogenous,TICAM1,NM_182919.3,29"
"Endogenous,C1QA,NM_015991.3,438"
"Endogenous,CD86,NM_001206924.1,63"
"Endogenous,ITGA4,NM_000885.5,238"
"Endogenous,ROR2,NM_001318204.1,96"
"Endogenous,WNT7B,NM_058238.2,30"
"Endogenous,FLT1,NM_002019.4,375"
"Endogenous,CTAG1B,NM_001327.2,13"
"Endogenous,CLEC7A,NM_197954.2,136"
"Endogenous,TNFRSF4,NM_003327.3,22"
"Endogenous,MS4A6A,NM_152852.2,137"
"Endogenous,ANGPT2,NM_001147.2,38"
"Endogenous,APH1B,NM_001145646.1,148"
"Endogenous,RORC,NM_001001523.1,127"
"Endogenous,NECTIN2,NM_001042724.1,328"
"Endogenous,DPP4,NM_001935.3,49"
"Endogenous,CCL2,NM_002982.3,265"
"Endogenous,NF1,NM_000267.3,92"
"Endogenous,S100A9,NM_002965.3,316"
"Endogenous,NFKBIA,NM_020529.2,1624"
"Endogenous,BNIP3L,NM_001330491.1,300"
"Endogenous,CST2,NM_001322.2,28"
"Endogenous,APOL6,NM_030641.3,267"
"Endogenous,BRD4,NM_001330384.1,186"
"Endogenous,SLC16A1,NM_003051.3,94"
"Endogenous,THBD,NM_000361.2,24"
"Endogenous,TIGIT,NM_173799.2,83"
"Endogenous,VSIR,NM_022153.1,63"
"Endogenous,TRIM21,NM_003141.3,135"
"Endogenous,NBN,NM_002485.4,310"
"Endogenous,WNT4,NM_030761.4,9"
"Endogenous,CXCL8,NM_000584.3,13"
"Endogenous,FGF9,NM_002010.2,7"
"Endogenous,C5AR1,NM_001736.3,16"
"Endogenous,TNFRSF1B,NM_001066.2,134"
"Endogenous,HLA-DRB5,NM_002125.3,5"
