<Header>
"FileVersion,2.0"
"SoftwareVersion,2.3.0.44"
"SystemType,Gen3"
</Header>
<Sample_Attributes>
"ID,01013"
"Owner,Administrator"
"Comments,"
"Date,20220128"
"GeneRLF,NS_IO_360_v1.0"
"SystemAPF,n6_vDV1"
"AssayType,Non Specific"
</Sample_Attributes>
<Lane_Attributes>
"ID,1"
"FovCount,194"
"FovCounted,194"
"ScannerID,1706P0203"
"StagePosition,1"
"BindingDensity,1.36"
"CartridgeID,30102613280522-01"
"CartridgeBarcode,30102613280522"
</Lane_Attributes>
<Code_Summary>
"CodeClass,Name,Accession,Count"
"Endogenous,CCNO,NM_021147.4,324"
"Endogenous,MYC,NM_002467.3,2138"
"Endogenous,CD79A,NM_001783.3,31"
"Endogenous,FSTL3,NM_005860.2,135"
"Endogenous,VCAN,NM_001126336.2,5611"
"Endogenous,CX3CL1,NM_002996.3,1564"
"Endogenous,ERBB2,NM_004448.2,3997"
"Endogenous,FAM124B,NM_001122779.1,83"
"Endogenous,AKT1,NM_005163.2,4795"
"Endogenous,KDR,NM_002253.2,470"
"Endogenous,EGF,NM_001178130.2,167"
"Endogenous,MAGEA12,NM_001166386.1,10"
"Endogenous,IFNA1,NM_024013.1,85"
"Endogenous,TGFB3,NM_001329938.1,1110"
"Endogenous,MFGE8,NM_001114614.1,4017"
"Endogenous,CXCL2,NM_002089.1,746"
"Endogenous,CCND2,NM_001759.2,1756"
"Endogenous,PDZK1IP1,NM_005764.3,452"
"Endogenous,JAG2,NM_002226.4,184"
"Endogenous,C5,NM_001317163.1,266"
"Endogenous,CD79B,NM_001039933.1,18"
"Endogenous,CXCR2,NM_001557.3,50"
"Endogenous,PSMB10,NM_002801.3,476"
"Endogenous,ZEB1,NM_001128128.2,751"
"Endogenous,ANLN,NM_018685.2,187"
"Endogenous,TAF3,NM_031923.3,57"
"Endogenous,CD276,NM_001024736.1,1844"
"Endogenous,ICAM1,NM_000201.2,247"
"Endogenous,IL16,NM_004513.4,610"
"Endogenous,CXCL3,NM_002090.2,66"
"Endogenous,PRR5,NM_015366.3,410"
"Endogenous,CTSW,NM_001335.3,72"
"Endogenous,CXCR4,NM_001008540.1,281"
"Endogenous,IFNGR2,NM_005534.3,2115"
"Endogenous,CDH11,NM_001797.2,3245"
"Endogenous,COL6A3,NM_004369.3,4334"
"Endogenous,GZMK,NM_002104.2,78"
"Endogenous,IRF2,NM_002199.3,777"
"Endogenous,RPL7A,NM_000972.2,26951"
"Endogenous,GPR160,NM_014373.1,1414"
"Endogenous,MICA,NM_000247.1,626"
"Endogenous,TAPBPL,NM_018009.4,735"
"Endogenous,CXCL14,NM_004887.4,7977"
"Endogenous,CD14,NM_001174105.1,627"
"Endogenous,IL18,NM_001243211.1,81"
"Endogenous,CLEC14A,NM_175060.1,424"
"Endogenous,HMGB1,NM_002128.5,464"
"Endogenous,KIF2C,NM_006845.2,42"
"Endogenous,RNLS,NM_001031709.2,285"
"Endogenous,RPTOR,NM_001163034.1,564"
"Endogenous,CD68,NM_001251.2,471"
"Endogenous,CCL13,NM_005408.2,31"
"Endogenous,CYBB,NM_000397.3,1446"
"Endogenous,PLA2G2A,NM_000300.2,73"
"Endogenous,FGF13,NM_001139498.1,149"
"Endogenous,CNTFR,NM_147164.2,83"
"Endogenous,CD244,NM_001166663.1,32"
"Endogenous,CSF2RB,NM_000395.2,96"
"Endogenous,MAP3K7,NM_003188.3,1499"
"Endogenous,FASLG,NM_000639.2,36"
"Endogenous,CD209,NM_021155.2,116"
"Endogenous,IRF7,NM_004029.2,802"
"Endogenous,PTCD2,NM_001284403.1,175"
"Endogenous,PIK3R2,NM_005027.3,1731"
"Endogenous,LILRA5,NM_181879.2,67"
"Endogenous,IL32,NM_004221.4,693"
"Endogenous,CCND3,NM_001136017.2,696"
"Endogenous,BIRC5,NM_001168.2,214"
"Endogenous,LGALS9,NM_002308.3,233"
"Endogenous,RASAL1,NM_001193520.1,36"
"Endogenous,PDCD1LG2,NM_025239.3,74"
"Endogenous,IL11,NM_000641.3,119"
"Endogenous,PRKX,NM_005044.4,16"
"Endogenous,SNCA,NM_001146055.1,227"
"Endogenous,ADGRE1,NM_001256252.1,49"
"Endogenous,PSMB9,NM_002800.4,268"
"Endogenous,RUNX3,NM_001031680.2,385"
"Endogenous,PGPEP1,NM_001300927.1,384"
"Endogenous,MELK,NM_014791.2,101"
"Endogenous,ISG15,NM_005101.3,578"
"Endogenous,EIF2B4,NM_001034116.1,664"
"Endogenous,IRF9,NM_006084.4,1535"
"Endogenous,IL1A,NM_000575.3,125"
"Endogenous,FCRL2,NM_001159488.1,23"
"Endogenous,EIF4EBP1,NM_004095.3,1231"
"Endogenous,LTBP1,NM_000627.3,450"
"Endogenous,CD40LG,NM_000074.2,27"
"Endogenous,HEY1,NM_001040708.1,1068"
"Endogenous,HLA-DQA1,NM_002122.3,1238"
"Endogenous,PRLR,NM_000949.5,967"
"Endogenous,TNFRSF11A,NM_001270949.1,146"
"Endogenous,AREG,NM_001657.3,2011"
"Endogenous,BBC3,NM_014417.4,630"
"Endogenous,EDN1,NM_001955.2,386"
"Endogenous,PARP12,NM_022750.3,681"
"Endogenous,PIK3CG,NM_001282426.1,200"
"Endogenous,IL4,NM_172348.1,8"
"Endogenous,F2RL1,NM_005242.4,249"
"Endogenous,CXCL6,NM_002993.3,177"
"Endogenous,TNFSF18,NM_005092.3,49"
"Endogenous,JAK3,NM_000215.2,170"
"Endogenous,NKG7,NM_005601.3,327"
"Endogenous,TAPBP,NM_003190.4,2299"
"Endogenous,MTOR,NM_004958.3,1081"
"Endogenous,SELP,NM_003005.3,97"
"Endogenous,HLA-E,NM_005516.5,4796"
"Endogenous,GOT1,NM_002079.2,877"
"Endogenous,SMAP1,NM_001044305.2,761"
"Endogenous,CDKN1A,NM_000389.2,900"
"Endogenous,CD45RA,NM_002838.4,52"
"Endogenous,HNF1A,NM_000545.6,21"
"Endogenous,TICAM1,NM_182919.3,109"
"Endogenous,C1QA,NM_015991.3,859"
"Endogenous,CD86,NM_001206924.1,60"
"Endogenous,ITGA4,NM_000885.5,398"
"Endogenous,ROR2,NM_001318204.1,714"
"Endogenous,WNT7B,NM_058238.2,37"
"Endogenous,FLT1,NM_002019.4,771"
"Endogenous,CTAG1B,NM_001327.2,14"
"Endogenous,CLEC7A,NM_197954.2,151"
"Endogenous,TNFRSF4,NM_003327.3,36"
"Endogenous,MS4A6A,NM_152852.2,117"
"Endogenous,ANGPT2,NM_001147.2,162"
"Endogenous,APH1B,NM_001145646.1,521"
"Endogenous,RORC,NM_001001523.1,366"
"Endogenous,NECTIN2,NM_001042724.1,3528"
"Endogenous,DPP4,NM_001935.3,105"
"Endogenous,CCL2,NM_002982.3,1097"
"Endogenous,NF1,NM_000267.3,734"
"Endogenous,S100A9,NM_002965.3,396"
"Endogenous,NFKBIA,NM_020529.2,5314"
"Endogenous,BNIP3L,NM_001330491.1,1250"
"Endogenous,CST2,NM_001322.2,14"
"Endogenous,APOL6,NM_030641.3,708"
"Endogenous,BRD4,NM_001330384.1,2527"
"Endogenous,SLC16A1,NM_003051.3,278"
"Endogenous,THBD,NM_000361.2,236"
"Endogenous,TIGIT,NM_173799.2,21"
"Endogenous,VSIR,NM_022153.1,437"
"Endogenous,TRIM21,NM_003141.3,349"
"Endogenous,NBN,NM_002485.4,1134"
"Endogenous,WNT4,NM_030761.4,228"
"Endogenous,CXCL8,NM_000584.3,33"
"Endogenous,FGF9,NM_002010.2,19"
"Endogenous,C5AR1,NM_001736.3,41"
"Endogenous,TNFRSF1B,NM_001066.2,491"
"Endogenous,HLA-DRB5,NM_002125.3,2862"
"Endogenous,GLUL,NM_002065.6,10375"
"Endogenous,LY9,NM_001033667.2,59"
"Endogenous,TAP1,NM_000593.5,405"
"Endogenous,IFIH1,NM_022168.3,902"
"Endogenous,DEPTOR,NM_001283012.1,1113"
"Endogenous,CSF1R,NM_005211.3,1133"
"Endogenous,MARCO,NM_006770.3,27"
"Endogenous,NFIL3,NM_001289999.1,578"
"Endogenous,IKBKG,NM_001099856.4,441"
"Endogenous,CD58,NM_001144822.1,163"
"Endogenous,LOXL2,NM_002318.2,358"
"Endogenous,SPRY4,NM_030964.3,855"
"Endogenous,NFAM1,NM_145912.5,53"
"Endogenous,SYK,NM_003177.5,247"
"Endogenous,COMP,NM_000095.2,46"
"Endogenous,IFI6,NM_002038.3,11399"
"Endogenous,RASGRF1,NM_001145648.1,30"
"Endogenous,HDAC5,NM_001015053.1,721"
"Endogenous,BAMBI,NM_012342.2,462"
"Endogenous,MAGEC1,NM_005462.4,14"
"Endogenous,FYN,NM_002037.5,724"
"Endogenous,TNFSF4,NM_001297562.1,46"
"Endogenous,CD274,NM_014143.3,103"
"Endogenous,PRKACB,NM_182948.2,1675"
"Endogenous,IFIT2,NM_001547.4,292"
"Endogenous,PPARG,NM_005037.5,210"
"Endogenous,PTEN,NM_000314.6,1111"
"Endogenous,FOXP3,NM_014009.3,48"
"Endogenous,SREBF1,NM_001005291.1,5387"
"Endogenous,CD36,NM_001001548.2,1744"
"Endogenous,AXIN1,NM_181050.1,420"
"Endogenous,KLRK1,NM_007360.3,84"
"Endogenous,GBP1,NM_002053.2,273"
"Endogenous,CXCL11,NM_005409.4,19"
"Endogenous,CXCL10,NM_001565.3,273"
"Endogenous,RIPK1,NM_003804.3,1310"
"Endogenous,REN,NM_000537.3,43"
"Endogenous,PRF1,NM_001083116.1,71"
"Endogenous,EIF2AK2,NM_001135652.2,1445"
"Endogenous,LIF,NM_002309.4,123"
"Endogenous,BRD3,NM_007371.3,2058"
"Endogenous,IGF2R,NM_000876.2,880"
"Endogenous,FPR1,NM_002029.3,145"
"Endogenous,DUSP5,NM_004419.3,1862"
"Endogenous,APC,NM_001127510.2,1254"
"Endogenous,HDAC3,NM_003883.3,997"
"Endogenous,CES3,NM_001185176.1,31"
"Endogenous,OAS2,NM_016817.2,1455"
"Endogenous,HDAC11,NM_001330636.1,625"
"Endogenous,THBS1,NM_003246.2,5385"
"Endogenous,SLC11A1,NM_000578.3,39"
"Endogenous,MAGEA3/A6,NM_005362.3,13"
"Endogenous,ARID1A,NM_006015.4,1886"
"Endogenous,CD48,NM_001778.3,62"
"Endogenous,GZMA,NM_006144.3,49"
"Endogenous,ICOSLG,NM_015259.4,259"
"Endogenous,PIK3R5,NM_014308.3,185"
"Endogenous,GZMM,NM_005317.2,30"
"Endogenous,WNT5A,NM_003392.3,540"
"Endogenous,TLR4,NR_024168.1,699"
"Endogenous,GZMB,NM_004131.4,16"
"Endogenous,PARP9,NM_001146103.1,702"
"Endogenous,LY96,NM_001195797.1,403"
"Endogenous,RAD50,NM_005732.3,1609"
"Endogenous,MX1,NM_001144925.2,480"
"Endogenous,CENPF,NM_016343.3,142"
"Endogenous,SELL,NM_000655.4,85"
"Endogenous,TNFSF10,NM_003810.3,5182"
"Endogenous,IL12RB2,NM_001319233.1,22"
"Endogenous,CXCL9,NM_002416.2,107"
"Endogenous,TRAT1,NM_016388.3,38"
"Endogenous,STC1,NM_003155.2,306"
"Endogenous,IL2RB,NM_000878.2,179"
"Endogenous,LILRB4,NM_001278426.3,150"
"Endogenous,SOX2,NM_003106.2,39"
"Endogenous,HCK,NM_001172129.1,363"
"Endogenous,WNT2B,NM_001291880.1,128"
"Endogenous,IL1B,NM_000576.2,132"
"Endogenous,TLR1,NM_003263.3,212"
"Endogenous,CCL22,NM_002990.3,45"
"Endogenous,ICAM2,NM_000873.3,235"
"Endogenous,MAP3K12,NM_006301.3,205"
"Endogenous,JAG1,NM_000214.2,1067"
"Endogenous,CCL3/L1,NM_021006.5,79"
"Endogenous,SOCS1,NM_003745.1,106"
"Endogenous,BCL2,NM_000633.2,1202"
"Endogenous,MAP3K8,NM_001244134.1,1028"
