code_class,gene,accesion_number,pre_count_1,post_count_1,pre_count_2,post_count_2,pre_count_3,post_count_3,pre_count_4,post_count_4,pre_count_5,post_count_5,lower_bound,upper_bound,mean_pre,mean_post
Endogenous,CCNO,NM_021147.4,14,14,324,23,NA,24,87,13,20,15,0.5,36.5,111.2,17.8
Endogenous,MYC,NM_002467.3,632,427,NA,570,529,105,55,102,147,125,-378,910,340.8,265.8
Endogenous,CD79A,NM_001783.3,10,17,31,NA,35,9,NA,12,53,13,4.5,24.5,32.2,12.8
Endogenous,FSTL3,NM_005860.2,45,59,135,NA,123,103,31,40,73,103,-7,169,81.4,76.2
Endogenous,VCAN,NM_001126336.2,1141,838,5611,NA,8545,3362,1618,2285,1997,4576,-1151.5,8012.5,3782.4,2765.2
Endogenous,CX3CL1,NM_002996.3,59,57,NA,NA,257,197,73,129,207,132,27,299,149,128.8
Endogenous,ERBB2,NM_004448.2,315,807,3997,NA,2597,566,232,121,550,379,-263,1449,1538.2,468.2
Endogenous,FAM124B,NM_001122779.1,21,23,83,NA,124,38,46,54,57,56,11,83,66.2,42.8
Endogenous,AKT1,NM_005163.2,1050,1259,4795,NA,7387,779,888,882,1662,1172,316.5,1824.5,3156.4,1023
Endogenous,KDR,NM_002253.2,79,152,470,NA,292,NA,107,122,297,144,77,197,249,139.3
Endogenous,EGF,NM_001178130.2,78,NA,167,59,219,52,32,NA,11,56,41.5,69.5,101.4,55.7
Endogenous,MAGEA12,NM_001166386.1,NA,7,10,20,11,16,12,12,10,15,6,22,10.8,14
Endogenous,IFNA1,NM_024013.1,65,27,85,NA,26,21,20,31,21,30,21,37,43.4,27.2
Endogenous,TGFB3,NM_001329938.1,75,130,1110,NA,1059,236,75,142,267,274,-56,472,517.2,195.5
Endogenous,MFGE8,NM_001114614.1,528,494,4017,NA,2339,1203,467,534,938,821,-469.5,2206.5,1657.8,763
Endogenous,CXCL2,NM_002089.1,87,18,NA,85,36,NA,33,34,45,38,-42.5,161.5,50.2,43.8
Endogenous,CCND2,NM_001759.2,144,226,NA,NA,799,349,512,122,333,622,-368,1216,447,329.8
Endogenous,PDZK1IP1,NM_005764.3,27,17,452,21,798,NA,27,31,31,23,6,46,267,23
Endogenous,JAG2,NM_002226.4,38,30,184,NA,105,24,16,25,31,25,17.5,37.5,74.8,26
Endogenous,C5,NM_001317163.1,21,74,266,NA,424,92,45,70,51,71,39.5,123.5,161.4,76.8
