treatment,code_class,gene,accesion_number,lower_bound_pre_count,upper_bound_pre_count,lower_bound_post_count,upper_bound_post_count,mean_pre,mean_post,count_value
pre_count_1,Endogenous,CCNO,NM_021147.4,-436,780,0.5,36.5,111.2,17.8,14
pre_count_2,Endogenous,CCNO,NM_021147.4,-436,780,0.5,36.5,111.2,17.8,324
pre_count_3,Endogenous,CCNO,NM_021147.4,-436,780,0.5,36.5,111.2,17.8,NA
pre_count_4,Endogenous,CCNO,NM_021147.4,-436,780,0.5,36.5,111.2,17.8,87
pre_count_5,Endogenous,CCNO,NM_021147.4,-436,780,0.5,36.5,111.2,17.8,20
post_count_1,Endogenous,CCNO,NM_021147.4,-436,780,0.5,36.5,111.2,17.8,14
post_count_2,Endogenous,CCNO,NM_021147.4,-436,780,0.5,36.5,111.2,17.8,23
post_count_3,Endogenous,CCNO,NM_021147.4,-436,780,0.5,36.5,111.2,17.8,24
post_count_4,Endogenous,CCNO,NM_021147.4,-436,780,0.5,36.5,111.2,17.8,13
post_count_5,Endogenous,CCNO,NM_021147.4,-436,780,0.5,36.5,111.2,17.8,15
pre_count_1,Endogenous,MYC,NM_002467.3,-580.5,1359.5,-378,910,340.8,265.8,632
pre_count_2,Endogenous,MYC,NM_002467.3,-580.5,1359.5,-378,910,340.8,265.8,NA
pre_count_3,Endogenous,MYC,NM_002467.3,-580.5,1359.5,-378,910,340.8,265.8,529
pre_count_4,Endogenous,MYC,NM_002467.3,-580.5,1359.5,-378,910,340.8,265.8,55
pre_count_5,Endogenous,MYC,NM_002467.3,-580.5,1359.5,-378,910,340.8,265.8,147
post_count_1,Endogenous,MYC,NM_002467.3,-580.5,1359.5,-378,910,340.8,265.8,427
post_count_2,Endogenous,MYC,NM_002467.3,-580.5,1359.5,-378,910,340.8,265.8,570
post_count_3,Endogenous,MYC,NM_002467.3,-580.5,1359.5,-378,910,340.8,265.8,105
post_count_4,Endogenous,MYC,NM_002467.3,-580.5,1359.5,-378,910,340.8,265.8,102
post_count_5,Endogenous,MYC,NM_002467.3,-580.5,1359.5,-378,910,340.8,265.8,125
pre_count_1,Endogenous,CD79A,NM_001783.3,-2,86,4.5,24.5,32.2,12.8,10
pre_count_2,Endogenous,CD79A,NM_001783.3,-2,86,4.5,24.5,32.2,12.8,31
pre_count_3,Endogenous,CD79A,NM_001783.3,-2,86,4.5,24.5,32.2,12.8,35
pre_count_4,Endogenous,CD79A,NM_001783.3,-2,86,4.5,24.5,32.2,12.8,NA
pre_count_5,Endogenous,CD79A,NM_001783.3,-2,86,4.5,24.5,32.2,12.8,53
post_count_1,Endogenous,CD79A,NM_001783.3,-2,86,4.5,24.5,32.2,12.8,17
post_count_2,Endogenous,CD79A,NM_001783.3,-2,86,4.5,24.5,32.2,12.8,NA
post_count_3,Endogenous,CD79A,NM_001783.3,-2,86,4.5,24.5,32.2,12.8,9
post_count_4,Endogenous,CD79A,NM_001783.3,-2,86,4.5,24.5,32.2,12.8,12
post_count_5,Endogenous,CD79A,NM_001783.3,-2,86,4.5,24.5,32.2,12.8,13
pre_count_1,Endogenous,FSTL3,NM_005860.2,-72,240,-7,169,81.4,76.2,45
pre_count_2,Endogenous,FSTL3,NM_005860.2,-72,240,-7,169,81.4,76.2,135
pre_count_3,Endogenous,FSTL3,NM_005860.2,-72,240,-7,169,81.4,76.2,123
pre_count_4,Endogenous,FSTL3,NM_005860.2,-72,240,-7,169,81.4,76.2,31
pre_count_5,Endogenous,FSTL3,NM_005860.2,-72,240,-7,169,81.4,76.2,73
post_count_1,Endogenous,FSTL3,NM_005860.2,-72,240,-7,169,81.4,76.2,59
post_count_2,Endogenous,FSTL3,NM_005860.2,-72,240,-7,169,81.4,76.2,NA
post_count_3,Endogenous,FSTL3,NM_005860.2,-72,240,-7,169,81.4,76.2,103
post_count_4,Endogenous,FSTL3,NM_005860.2,-72,240,-7,169,81.4,76.2,40
post_count_5,Endogenous,FSTL3,NM_005860.2,-72,240,-7,169,81.4,76.2,103
pre_count_1,Endogenous,VCAN,NM_001126336.2,-4371.5,11600.5,-1151.5,8012.5,3782.4,2765.2,1141
pre_count_2,Endogenous,VCAN,NM_001126336.2,-4371.5,11600.5,-1151.5,8012.5,3782.4,2765.2,5611
pre_count_3,Endogenous,VCAN,NM_001126336.2,-4371.5,11600.5,-1151.5,8012.5,3782.4,2765.2,8545
pre_count_4,Endogenous,VCAN,NM_001126336.2,-4371.5,11600.5,-1151.5,8012.5,3782.4,2765.2,1618
pre_count_5,Endogenous,VCAN,NM_001126336.2,-4371.5,11600.5,-1151.5,8012.5,3782.4,2765.2,1997
post_count_1,Endogenous,VCAN,NM_001126336.2,-4371.5,11600.5,-1151.5,8012.5,3782.4,2765.2,838
post_count_2,Endogenous,VCAN,NM_001126336.2,-4371.5,11600.5,-1151.5,8012.5,3782.4,2765.2,NA
post_count_3,Endogenous,VCAN,NM_001126336.2,-4371.5,11600.5,-1151.5,8012.5,3782.4,2765.2,3362
post_count_4,Endogenous,VCAN,NM_001126336.2,-4371.5,11600.5,-1151.5,8012.5,3782.4,2765.2,2285
post_count_5,Endogenous,VCAN,NM_001126336.2,-4371.5,11600.5,-1151.5,8012.5,3782.4,2765.2,4576
pre_count_1,Endogenous,CX3CL1,NM_002996.3,-203,533,27,299,149,128.8,59
