code_class,gene,log2_fold_change
Endogenous,CCNO,-2.6432076417571095
Endogenous,MYC,-0.35858423094966374
Endogenous,CD79A,-1.330916878114617
Endogenous,FSTL3,-0.09523779677292514
Endogenous,VCAN,-0.4519181098703527
Endogenous,CX3CL1,-0.21017973723490677
Endogenous,ERBB2,-1.7160462581774496
Endogenous,FAM124B,-0.6292204204060708
Endogenous,AKT1,-1.6254738997640832
Endogenous,KDR,-0.8379504843541901
Endogenous,EGF,-0.8643084196633086
Endogenous,MAGEA12,0.3743955147814979
Endogenous,IFNA1,-0.67408839119414
Endogenous,TGFB3,-1.4035536676155398
Endogenous,MFGE8,-1.1195150058117551
Endogenous,CXCL2,-0.19675649434959877
Endogenous,CCND2,-0.43868343263321297
Endogenous,PDZK1IP1,-3.537133975630541
Endogenous,JAG2,-1.524526646859182
Endogenous,C5,-1.0714623625566242
Endogenous,CD79B,-0.6251515908368549
Endogenous,CXCR2,0.46847675824030416
Endogenous,PSMB10,-1.1309606778831631
Endogenous,ZEB1,-0.5770573026358101
Endogenous,ANLN,-1.3563915044555839
Endogenous,TAF3,-0.6947506462592677
Endogenous,CD276,-1.096323250765962
Endogenous,ICAM1,-0.9278061752618542
Endogenous,IL16,-1.46486865523085
Endogenous,CXCL3,0.3305412251920706
Endogenous,PRR5,-0.9938738972031583
Endogenous,CTSW,-1.2784264562507759
Endogenous,CXCR4,0.28003248218569116
Endogenous,IFNGR2,-1.2563397532597858
Endogenous,CDH11,-0.3063759778524294
Endogenous,COL6A3,0.33456465512976147
Endogenous,GZMK,-0.8225743096750431
Endogenous,IRF2,-1.2355885234321242
Endogenous,RPL7A,-1.4002939860905812
Endogenous,GPR160,0.36974777493962807
Endogenous,MICA,-1.3926097325844182
Endogenous,TAPBPL,-1.5077946401986964
Endogenous,CXCL14,-2.2542210039803225
Endogenous,CD14,-1.0010925370010118
Endogenous,IL18,-0.2103195890358729
Endogenous,CLEC14A,-0.24777533844836097
Endogenous,HMGB1,-0.5757557366045291
Endogenous,KIF2C,-0.9477700412274421
Endogenous,RNLS,-1.201068652527401
Endogenous,RPTOR,-1.3711080908411064
Endogenous,CD68,-0.7085909495365308
Endogenous,CCL13,0.4556794837761897
Endogenous,CYBB,-1.4350951516200974
Endogenous,PLA2G2A,0.19464743085354386
Endogenous,FGF13,-0.22834735455115554
Endogenous,CNTFR,0.17218097538268035
Endogenous,CD244,-0.5145731728297581
Endogenous,CSF2RB,-1.4050946960312656
Endogenous,MAP3K7,-0.8576794599522893
Endogenous,FASLG,-0.8564726886222951
Endogenous,CD209,-0.16099187667230475
Endogenous,IRF7,-0.866516994525748
Endogenous,PTCD2,-0.23820912679922293
Endogenous,PIK3R2,-1.91869461793299
Endogenous,LILRA5,-0.6430654552847245
Endogenous,IL32,-1.4414154753585822
Endogenous,CCND3,-1.6403124291484132
Endogenous,BIRC5,-1.9225162923232497
Endogenous,LGALS9,-1.8570762004658121
Endogenous,RASAL1,-0.09663578304511952
Endogenous,PDCD1LG2,-0.6142568075151942
Endogenous,IL11,-1.0924462487645952
Endogenous,PRKX,0
Endogenous,SNCA,0.6513637264436659
Endogenous,ADGRE1,-0.5046747117635205
Endogenous,PSMB9,-1.6974693752328736
Endogenous,RUNX3,-1.7418243263439739
Endogenous,PGPEP1,-1.956839237211028
Endogenous,MELK,-1.1142834274958915
Endogenous,ISG15,-1.8181240318345717
Endogenous,EIF2B4,-1.576366477032771
Endogenous,IRF9,-1.5923876073884173
Endogenous,IL1A,-1.0473057147783567
Endogenous,FCRL2,-0.3518436727916499
Endogenous,EIF4EBP1,-2.2524062926029167
Endogenous,LTBP1,-0.4828643131024202
Endogenous,CD40LG,-0.5793597944917803
Endogenous,HEY1,0.2917478347486099
Endogenous,HLA-DQA1,-1.5458301600674047
Endogenous,PRLR,-0.06325255825043347
Endogenous,TNFRSF11A,0.39891783391556673
Endogenous,AREG,-1.5305147166987798
Endogenous,BBC3,-1.1778320832969087
Endogenous,EDN1,0.2504891525146802
Endogenous,PARP12,-1.2700891633677442
Endogenous,PIK3CG,-0.5605649315927457
Endogenous,IL4,0.18442457113742758
Endogenous,F2RL1,-0.856846227353328
Endogenous,CXCL6,0.4764380439429871
Endogenous,TNFSF18,0.2630344058337938
Endogenous,JAK3,-1.5477111054245845
Endogenous,NKG7,-1.797894592808538
Endogenous,TAPBP,-1.5557657052765423
Endogenous,MTOR,-1.5858287241280793
Endogenous,SELP,-0.22948184612276734
Endogenous,HLA-E,-1.6168535591720514
Endogenous,GOT1,-1.084017291355693
Endogenous,SMAP1,-0.9867031773865421
Endogenous,CDKN1A,-1.54651220087936
Endogenous,CD45RA,-1.332076050263445
Endogenous,HNF1A,0.049468676264299904
Endogenous,TICAM1,-1.0318840610197861
Endogenous,C1QA,-1.5443639506156153
Endogenous,CD86,-0.06588793565645709
Endogenous,ITGA4,-1.8354247300002424
Endogenous,ROR2,-1.3195071749170937
Endogenous,WNT7B,0.23918766387942633
Endogenous,FLT1,-0.56580292243770125
Endogenous,CTAG1B,-0.6977304308831059
Endogenous,CLEC7A,0.808386769788482
Endogenous,TNFRSF4,-0.18057224564182092
Endogenous,MS4A6A,-0.34348423825380986
Endogenous,ANGPT2,-0.406121361780889
Endogenous,APH1B,0.3032396897213837
Endogenous,RORC,-0.048319822572253535
Endogenous,NECTIN2,-1.614799880314625
Endogenous,DPP4,0.07513433006077926
Endogenous,CCL2,-1.544355183476179
Endogenous,NF1,-1.0034309054002735
Endogenous,S100A9,-0.8032333863390466
Endogenous,NFKBIA,-1.298584588084564
Endogenous,BNIP3L,-1.288718550543154
Endogenous,CST2,-0.24147826246734613
Endogenous,APOL6,-1.3220906429176047
Endogenous,BRD4,-2.1504195916092392
Endogenous,SLC16A1,-0.7963893635086982
Endogenous,THBD,-1.8664636552137577
Endogenous,TIGIT,-1.823474587420881
Endogenous,VSIR,-1.8056364048313047
Endogenous,TRIM21,-1.0198630265763777
Endogenous,NBN,-1.3516379310984024
Endogenous,WNT4,0.4222330006830478
Endogenous,CXCL8,-0.3219280948873623
Endogenous,FGF9,0.15919859484925394
Endogenous,C5AR1,-0.1965389940468869
Endogenous,TNFRSF1B,-1.4103761219089808
Endogenous,HLA-DRB5,0.5329032851928818
Endogenous,GLUL,-0.5176639374337157
Endogenous,LY9,-1.3035134751888642
Endogenous,TAP1,-1.0577154978562873
Endogenous,IFIH1,-1.2140424385896216
Endogenous,DEPTOR,-0.9955282566573226
Endogenous,CSF1R,-0.33714300173057593
Endogenous,MARCO,-0.1488633859144827
Endogenous,NFIL3,-0.0850486556333943
Endogenous,IKBKG,-1.8420375869851011
Endogenous,CD58,-0.8730878875177807
Endogenous,LOXL2,-1.0954803088542284
Endogenous,SPRY4,-2.2185707103840397
Endogenous,NFAM1,-0.929610672108602
Endogenous,SYK,-1.0644400615602116
Endogenous,COMP,1.0692144947312887
Endogenous,IFI6,-1.9286009441087164
Endogenous,RASGRF1,-0.0485801804450616
Endogenous,HDAC5,-1.3990201019414754
Endogenous,BAMBI,0.7078734199936626
Endogenous,MAGEC1,0.28141293514864857
Endogenous,FYN,-1.430072344774178
Endogenous,TNFSF4,-0.0635029423061579
Endogenous,CD274,-1.5796682010516432
Endogenous,PRKACB,-0.02153316154964132
Endogenous,IFIT2,-1.689502485889042
Endogenous,PPARG,0.1783372412585124
Endogenous,PTEN,-1.0420361318421585
Endogenous,FOXP3,-0.4386887673434892
Endogenous,SREBF1,1.1600487097413217
Endogenous,CD36,1.225613000596358
Endogenous,AXIN1,-1.8087013477651206
Endogenous,KLRK1,-0.9889165008709835
Endogenous,GBP1,-1.4405725913859815
Endogenous,CXCL11,-0.6048620581588612
Endogenous,CXCL10,-1.1755386079058392
Endogenous,RIPK1,-1.2231957036739538
Endogenous,REN,0.2630344058337938
Endogenous,PRF1,-1.2672222027972273
Endogenous,EIF2AK2,-0.9954017649013527
Endogenous,LIF,-1.2669708203929642
Endogenous,BRD3,-1.4796719758660366
Endogenous,IGF2R,-0.9126963878255784
Endogenous,FPR1,-0.5182363869203432
Endogenous,DUSP5,-1.8649382262966379
Endogenous,APC,-0.6854514354782353
Endogenous,HDAC3,-0.5892012719912495
Endogenous,CES3,-0.7301604162610918
Endogenous,OAS2,-1.3002330237880433
Endogenous,HDAC11,-1.508498658420074
Endogenous,THBS1,0.11971784655214329
Endogenous,SLC11A1,0.5243763478601169
Endogenous,MAGEA3/A6,-0.061400544664143256
Endogenous,ARID1A,-1.6451267271011294
Endogenous,CD48,-0.797086586603777
Endogenous,GZMA,-1.1284299401244728
Endogenous,ICOSLG,-0.8102822718091272
Endogenous,PIK3R5,-0.46948528330122025
Endogenous,GZMM,-0.9663168737437114
Endogenous,WNT5A,-0.5027048186020772
Endogenous,TLR4,-0.8390536105359626
Endogenous,GZMB,-0.5305147166987798
Endogenous,PARP9,-1.3177052755286247
Endogenous,LY96,-0.25490031123818235
Endogenous,RAD50,-0.1807689052714723
Endogenous,MX1,-1.6201657792109692
Endogenous,CENPF,-0.8091153799220416
Endogenous,SELL,-1.3206891982540037
Endogenous,TNFSF10,-1.788602175251111
Endogenous,IL12RB2,-1.1075284643044452
Endogenous,CXCL9,-3.1812930011281195
Endogenous,TRAT1,-1.1321559585665666
Endogenous,STC1,-0.6897133115480336
Endogenous,IL2RB,-1.6705382324272302
Endogenous,LILRB4,-0.15125770720222811
Endogenous,SOX2,-0.09891502607268728
Endogenous,HCK,-1.097658608356228
Endogenous,WNT2B,-0.7638624871290577
Endogenous,IL1B,-1.8095227587403142
Endogenous,TLR1,-0.018847295018745203
Endogenous,CCL22,-1.04654258593703
Endogenous,ICAM2,-1.4985781948215469
Endogenous,MAP3K12,-1.1228567477855336
Endogenous,JAG1,-0.052367173565297756
Endogenous,CCL3/L1,-0.37401023101878894
Endogenous,SOCS1,-1.5715419849588343
Endogenous,BCL2,-0.7839100690083252
Endogenous,MAP3K8,-0.4398088341040634
Endogenous,MMP1,-1.340228911630306
Endogenous,CMKLR1,-0.23905329094206942
Endogenous,TNFRSF17,-0.7109703856332615
Endogenous,TLR8,-0.6559290220752996
Endogenous,TPM1,-1.7078192485066896
Endogenous,CXorf36,0.05666585282876439
Endogenous,NLRP3,-1.0259952085329445
Endogenous,DEFB134,0.49410907027004275
Endogenous,HLA-DQA2,3.59901115775722
Endogenous,CX3CR1,-2.2065892588440508
Endogenous,APLNR,-1.664132714154764
Endogenous,MXI1,-1.9932062671051067
Endogenous,FZD9,-0.21631790692676364
Endogenous,COL4A5,-1.4533304546967583
Endogenous,FCAR,-0.6374299206152917
Endogenous,BRCA2,-0.8651925218174715
Endogenous,SFRP4,-1.2745529118335477
Endogenous,TLR3,-0.7930063478681997
Endogenous,IL2RG,-2.0070547575339504
Endogenous,CD84,-0.33693025822660905
Endogenous,HLA-DPA1,0.10888727775235053
Endogenous,RBL2,-0.6652513181572807
Endogenous,CCL18,0.10563363097846375
Endogenous,IRF3,-1.8485572852921914
Endogenous,TNFRSF8,0.1963972128035036
Endogenous,KIR3DL2,0.538095895683182
Endogenous,TNFSF13,-1.720914906118373
Endogenous,CLECL1,-0.6490928381408719
Endogenous,TNFRSF10B,-1.7143789090989663
Endogenous,MAGEC2,-0.7240265384587082
Endogenous,CDKN2A,0.04687672427835113
Endogenous,ADM,0.28540221886224837
Endogenous,PNOC,0.28280807914412187
Endogenous,CD247,-0.035623909730721375
Endogenous,PTPRC,-0.5143162140543192
Endogenous,OAS3,-1.7544298669365106
Endogenous,LAG3,-0.5016598540265947
Endogenous,FOSL1,-0.15058521122685475
Endogenous,EOMES,-0.8557952771153573
Endogenous,IL10RA,-0.6394102847435327
Endogenous,WDR76,-0.691772815689213
Endogenous,GPC4,0.00998408857262207
Endogenous,SLAMF7,-0.6212321026464953
Endogenous,RSAD2,-0.6624429155483395
Endogenous,TLR5,-0.1797423269530165
Endogenous,VEGFA,-1.1332794046552617
Endogenous,COL5A1,0.718335775326365
Endogenous,CD3D,-0.9685503613749471
Endogenous,FBP1,-1.0762910572759328
Endogenous,ERO1A,-0.47952816686010963
Endogenous,CCL21,-0.5503638391971892
Endogenous,E2F3,-1.2431250405158962
Endogenous,LDHA,-1.4321947819450378
Endogenous,MS4A1,-0.3048545815284209
Endogenous,CD69,-0.0733731863302192
Endogenous,SERPINB5,0.07251249978436797
Endogenous,FAP,1.3090835615569465
Endogenous,ITGA2,-0.6115829011884184
Endogenous,SIGLEC5,-0.32659953461125996
Endogenous,SIRPB2,0.435884284184448
Endogenous,EPM2AIP1,-1.2286099133170907
Endogenous,FGF18,-0.4366397537640548
Endogenous,HRAS,-1.2957656076666673
Endogenous,CCND1,-0.30681494379384505
Endogenous,LAMB3,-0.7016587254302534
Endogenous,ID4,0.08958879421269754
Endogenous,CCL4,-0.42884329880387423
