code_class,gene,type,mean_count,log2_transformed
Endogenous,CCNO,pre,111.2,6.797012977836145
Endogenous,CCNO,post,17.8,4.153805336079036
Endogenous,MYC,pre,340.8,8.412781525338476
Endogenous,MYC,post,265.8,8.054197294388812
Endogenous,CD79A,pre,32.2,5.008988783227255
Endogenous,CD79A,post,12.8,3.678071905112638
Endogenous,FSTL3,pre,81.4,6.346956889378885
Endogenous,FSTL3,post,76.2,6.25171909260596
Endogenous,VCAN,pre,3782.4,11.88508622529017
Endogenous,VCAN,post,2765.2,11.433168115419818
Endogenous,CX3CL1,pre,149,7.219168520462161
Endogenous,CX3CL1,post,128.8,7.008988783227255
Endogenous,ERBB2,pre,1538.2,10.5870273824021
Endogenous,ERBB2,post,468.2,8.87098112422465
Endogenous,FAM124B,pre,66.2,6.048759311919856
Endogenous,FAM124B,post,42.8,5.419538891513785
Endogenous,AKT1,pre,3156.4,11.624064329509412
Endogenous,AKT1,post,1023,9.99859042974533
Endogenous,KDR,pre,249,7.960001932068081
Endogenous,KDR,post,139.3,7.122051447713891
Endogenous,EGF,pre,101.4,6.663913842115978
Endogenous,EGF,post,55.7,5.79960542245267
Endogenous,MAGEA12,pre,10.8,3.4329594072761065
Endogenous,MAGEA12,post,14,3.807354922057604
Endogenous,IFNA1,pre,43.4,5.439623137557117
Endogenous,IFNA1,post,27.2,4.765534746362977
Endogenous,TGFB3,pre,517.2,9.0145784649228915
Endogenous,TGFB3,post,195.5,7.611024797307352
Endogenous,MFGE8,pre,1657.8,10.695054252646285
Endogenous,MFGE8,post,763,9.57553924683453
Endogenous,CXCL2,pre,50.2,5.649615459063409
Endogenous,CXCL2,post,43.8,5.452858964713811
Endogenous,CCND2,pre,447,8.804131021183318
Endogenous,CCND2,post,329.8,8.365447588550104
Endogenous,PDZK1IP1,pre,267,8.060695931687555
Endogenous,PDZK1IP1,post,23,4.523561956057013
Endogenous,JAG2,pre,74.8,6.224966365000275
Endogenous,JAG2,post,26,4.700439718141092
Endogenous,C5,pre,161.4,7.334496768390418
Endogenous,C5,post,76.8,6.2630344058337934
Endogenous,CD79B,pre,18.2,4.185866545311334
Endogenous,CD79B,post,11.8,3.560714954474479
Endogenous,CXCR2,pre,31.8,4.990954860396993
Endogenous,CXCR2,post,44,5.459431618637297
Endogenous,PSMB10,pre,242,7.918863237274595
Endogenous,PSMB10,post,110.5,6.787902559391432
Endogenous,ZEB1,pre,455,8.829722735086058
Endogenous,ZEB1,post,305,8.252665432450248
Endogenous,ANLN,pre,116.5,6.864186144654281
Endogenous,ANLN,post,45.5,5.507794640198696
Endogenous,TAF3,pre,34.8,5.121015400961366
Endogenous,TAF3,post,21.5,4.426264754702098
Endogenous,CD276,pre,1198.4,10.226893813571388
Endogenous,CD276,post,560.5,9.130570562805426
Endogenous,ICAM1,pre,159.8,7.320123598040615
Endogenous,ICAM1,post,84,6.392317422778761
Endogenous,IL16,pre,432,8.754887502163468
Endogenous,IL16,post,156.5,7.290018846932618
Endogenous,CXCL3,pre,16.7,4.06177619758669
Endogenous,CXCL3,post,21,4.392317422778761
Endogenous,PRR5,pre,94,6.554588851677638
Endogenous,PRR5,post,47.2,5.560714954474479
Endogenous,CTSW,pre,49,5.614709844115208
Endogenous,CTSW,post,20.2,4.336283387864432
Endogenous,CXCR4,pre,337.5,8.398743691938193
