treatment,code_class,gene,accesion_number,lower_bound_pre_count,upper_bound_pre_count,lower_bound_post_count,upper_bound_post_count,mean_pre,mean_post,count_value,log2_transformed
0,Endogenous,CCNO,NM_021147.4,-436,780,0.5,36.5,111.2,17.8,14,3.807354922057604
0,Endogenous,CCNO,NM_021147.4,-436,780,0.5,36.5,111.2,17.8,324,8.339850002884624
0,Endogenous,CCNO,NM_021147.4,-436,780,0.5,36.5,111.2,17.8,NA,NA
0,Endogenous,CCNO,NM_021147.4,-436,780,0.5,36.5,111.2,17.8,87,6.442943495848728
0,Endogenous,CCNO,NM_021147.4,-436,780,0.5,36.5,111.2,17.8,20,4.321928094887363
1,Endogenous,CCNO,NM_021147.4,-436,780,0.5,36.5,111.2,17.8,14,3.807354922057604
1,Endogenous,CCNO,NM_021147.4,-436,780,0.5,36.5,111.2,17.8,23,4.523561956057013
1,Endogenous,CCNO,NM_021147.4,-436,780,0.5,36.5,111.2,17.8,24,4.584962500721156
1,Endogenous,CCNO,NM_021147.4,-436,780,0.5,36.5,111.2,17.8,13,3.700439718141092
1,Endogenous,CCNO,NM_021147.4,-436,780,0.5,36.5,111.2,17.8,15,3.9068905956085187
0,Endogenous,MYC,NM_002467.3,-580.5,1359.5,-378,910,340.8,265.8,632,9.303780748177102
0,Endogenous,MYC,NM_002467.3,-580.5,1359.5,-378,910,340.8,265.8,NA,NA
0,Endogenous,MYC,NM_002467.3,-580.5,1359.5,-378,910,340.8,265.8,529,9.047123912114026
0,Endogenous,MYC,NM_002467.3,-580.5,1359.5,-378,910,340.8,265.8,55,5.78135971352466
0,Endogenous,MYC,NM_002467.3,-580.5,1359.5,-378,910,340.8,265.8,147,7.199672344836364
1,Endogenous,MYC,NM_002467.3,-580.5,1359.5,-378,910,340.8,265.8,427,8.73809225962049
1,Endogenous,MYC,NM_002467.3,-580.5,1359.5,-378,910,340.8,265.8,570,9.154818109052105
1,Endogenous,MYC,NM_002467.3,-580.5,1359.5,-378,910,340.8,265.8,105,6.714245517666122
1,Endogenous,MYC,NM_002467.3,-580.5,1359.5,-378,910,340.8,265.8,102,6.672425341971495
1,Endogenous,MYC,NM_002467.3,-580.5,1359.5,-378,910,340.8,265.8,125,6.965784284662087
0,Endogenous,CD79A,NM_001783.3,-2,86,4.5,24.5,32.2,12.8,10,3.321928094887362
0,Endogenous,CD79A,NM_001783.3,-2,86,4.5,24.5,32.2,12.8,31,4.954196310386875
0,Endogenous,CD79A,NM_001783.3,-2,86,4.5,24.5,32.2,12.8,35,5.129283016944966
0,Endogenous,CD79A,NM_001783.3,-2,86,4.5,24.5,32.2,12.8,NA,NA
0,Endogenous,CD79A,NM_001783.3,-2,86,4.5,24.5,32.2,12.8,53,5.727920454563199
1,Endogenous,CD79A,NM_001783.3,-2,86,4.5,24.5,32.2,12.8,17,4.087462841250339
1,Endogenous,CD79A,NM_001783.3,-2,86,4.5,24.5,32.2,12.8,NA,NA
1,Endogenous,CD79A,NM_001783.3,-2,86,4.5,24.5,32.2,12.8,9,3.169925001442312
1,Endogenous,CD79A,NM_001783.3,-2,86,4.5,24.5,32.2,12.8,12,3.584962500721156
1,Endogenous,CD79A,NM_001783.3,-2,86,4.5,24.5,32.2,12.8,13,3.700439718141092
0,Endogenous,FSTL3,NM_005860.2,-72,240,-7,169,81.4,76.2,45,5.491853096329675
0,Endogenous,FSTL3,NM_005860.2,-72,240,-7,169,81.4,76.2,135,7.076815597050831
0,Endogenous,FSTL3,NM_005860.2,-72,240,-7,169,81.4,76.2,123,6.94251450533924
0,Endogenous,FSTL3,NM_005860.2,-72,240,-7,169,81.4,76.2,31,4.954196310386875
0,Endogenous,FSTL3,NM_005860.2,-72,240,-7,169,81.4,76.2,73,6.189824558880018
1,Endogenous,FSTL3,NM_005860.2,-72,240,-7,169,81.4,76.2,59,5.882643049361842
1,Endogenous,FSTL3,NM_005860.2,-72,240,-7,169,81.4,76.2,NA,NA
1,Endogenous,FSTL3,NM_005860.2,-72,240,-7,169,81.4,76.2,103,6.6865005271832185
1,Endogenous,FSTL3,NM_005860.2,-72,240,-7,169,81.4,76.2,40,5.321928094887363
1,Endogenous,FSTL3,NM_005860.2,-72,240,-7,169,81.4,76.2,103,6.6865005271832185
0,Endogenous,VCAN,NM_001126336.2,-4371.5,11600.5,-1151.5,8012.5,3782.4,2765.2,1141,10.156083076288681
0,Endogenous,VCAN,NM_001126336.2,-4371.5,11600.5,-1151.5,8012.5,3782.4,2765.2,5611,12.45404219747008
0,Endogenous,VCAN,NM_001126336.2,-4371.5,11600.5,-1151.5,8012.5,3782.4,2765.2,8545,13.060864776563502
0,Endogenous,VCAN,NM_001126336.2,-4371.5,11600.5,-1151.5,8012.5,3782.4,2765.2,1618,10.659995892429977
0,Endogenous,VCAN,NM_001126336.2,-4371.5,11600.5,-1151.5,8012.5,3782.4,2765.2,1997,10.963618617443972
1,Endogenous,VCAN,NM_001126336.2,-4371.5,11600.5,-1151.5,8012.5,3782.4,2765.2,838,9.710806433699352
1,Endogenous,VCAN,NM_001126336.2,-4371.5,11600.5,-1151.5,8012.5,3782.4,2765.2,NA,NA
1,Endogenous,VCAN,NM_001126336.2,-4371.5,11600.5,-1151.5,8012.5,3782.4,2765.2,3362,11.715104009236168
1,Endogenous,VCAN,NM_001126336.2,-4371.5,11600.5,-1151.5,8012.5,3782.4,2765.2,2285,11.157978449945432
1,Endogenous,VCAN,NM_001126336.2,-4371.5,11600.5,-1151.5,8012.5,3782.4,2765.2,4576,12.159871336778389
0,Endogenous,CX3CL1,NM_002996.3,-203,533,27,299,149,128.8,59,5.882643049361842
0,Endogenous,CX3CL1,NM_002996.3,-203,533,27,299,149,128.8,NA,NA
0,Endogenous,CX3CL1,NM_002996.3,-203,533,27,299,149,128.8,257,8.005624549193879
0,Endogenous,CX3CL1,NM_002996.3,-203,533,27,299,149,128.8,73,6.189824558880018
0,Endogenous,CX3CL1,NM_002996.3,-203,533,27,299,149,128.8,207,7.693486957499325
1,Endogenous,CX3CL1,NM_002996.3,-203,533,27,299,149,128.8,57,5.832890014164741
1,Endogenous,CX3CL1,NM_002996.3,-203,533,27,299,149,128.8,NA,NA
1,Endogenous,CX3CL1,NM_002996.3,-203,533,27,299,149,128.8,197,7.6220518194563764
1,Endogenous,CX3CL1,NM_002996.3,-203,533,27,299,149,128.8,129,7.011227255423254
1,Endogenous,CX3CL1,NM_002996.3,-203,533,27,299,149,128.8,132,7.044394119358453
0,Endogenous,ERBB2,NM_004448.2,-3108,6020,-263,1449,1538.2,468.2,315,8.29920801838728
0,Endogenous,ERBB2,NM_004448.2,-3108,6020,-263,1449,1538.2,468.2,3997,11.964701857420447
0,Endogenous,ERBB2,NM_004448.2,-3108,6020,-263,1449,1538.2,468.2,2597,11.342630298678408
0,Endogenous,ERBB2,NM_004448.2,-3108,6020,-263,1449,1538.2,468.2,232,7.857980995127572
0,Endogenous,ERBB2,NM_004448.2,-3108,6020,-263,1449,1538.2,468.2,550,9.103287808412022
1,Endogenous,ERBB2,NM_004448.2,-3108,6020,-263,1449,1538.2,468.2,807,9.656424863277781
1,Endogenous,ERBB2,NM_004448.2,-3108,6020,-263,1449,1538.2,468.2,NA,NA
