<Header>
"FileVersion,2.0"
"SoftwareVersion,2.3.0.44"
"SystemType,Gen3"
</Header>
<Sample_Attributes>
"ID,01011-C3"
"Owner,Administrator"
"Comments,"
"Date,20220128"
"GeneRLF,NS_IO_360_v1.0"
"SystemAPF,n6_vDV1"
"AssayType,Non Specific"
</Sample_Attributes>
<Lane_Attributes>
"ID,9"
"FovCount,194"
"FovCounted,193"
"ScannerID,1706P0203"
"StagePosition,1"
"BindingDensity,0.40"
"CartridgeID,30102613280522-01"
"CartridgeBarcode,30102613280522"
</Lane_Attributes>
<Code_Summary>
"CodeClass,Name,Accession,Count"
"Endogenous,CCNO,NM_021147.4,20"
"Endogenous,MYC,NM_002467.3,147"
"Endogenous,CD79A,NM_001783.3,53"
"Endogenous,FSTL3,NM_005860.2,73"
"Endogenous,VCAN,NM_001126336.2,1997"
"Endogenous,CX3CL1,NM_002996.3,207"
"Endogenous,ERBB2,NM_004448.2,550"
"Endogenous,FAM124B,NM_001122779.1,57"
"Endogenous,AKT1,NM_005163.2,1662"
"Endogenous,KDR,NM_002253.2,297"
"Endogenous,EGF,NM_001178130.2,11"
"Endogenous,MAGEA12,NM_001166386.1,10"
"Endogenous,IFNA1,NM_024013.1,21"
"Endogenous,TGFB3,NM_001329938.1,267"
"Endogenous,MFGE8,NM_001114614.1,938"
"Endogenous,CXCL2,NM_002089.1,45"
"Endogenous,CCND2,NM_001759.2,333"
"Endogenous,PDZK1IP1,NM_005764.3,31"
"Endogenous,JAG2,NM_002226.4,31"
"Endogenous,C5,NM_001317163.1,51"
"Endogenous,CD79B,NM_001039933.1,12"
"Endogenous,CXCR2,NM_001557.3,20"
"Endogenous,PSMB10,NM_002801.3,150"
"Endogenous,ZEB1,NM_001128128.2,334"
"Endogenous,ANLN,NM_018685.2,80"
"Endogenous,TAF3,NM_031923.3,36"
"Endogenous,CD276,NM_001024736.1,562"
"Endogenous,ICAM1,NM_000201.2,80"
"Endogenous,IL16,NM_004513.4,312"
"Endogenous,CXCL3,NM_002090.2,16"
"Endogenous,PRR5,NM_015366.3,99"
"Endogenous,CTSW,NM_001335.3,28"
"Endogenous,CXCR4,NM_001008540.1,299"
"Endogenous,IFNGR2,NM_005534.3,554"
"Endogenous,CDH11,NM_001797.2,1440"
"Endogenous,COL6A3,NM_004369.3,2091"
"Endogenous,GZMK,NM_002104.2,80"
"Endogenous,IRF2,NM_002199.3,222"
"Endogenous,RPL7A,NM_000972.2,5099"
"Endogenous,GPR160,NM_014373.1,790"
"Endogenous,MICA,NM_000247.1,82"
"Endogenous,TAPBPL,NM_018009.4,174"
"Endogenous,CXCL14,NM_004887.4,1686"
"Endogenous,CD14,NM_001174105.1,111"
"Endogenous,IL18,NM_001243211.1,96"
"Endogenous,CLEC14A,NM_175060.1,157"
"Endogenous,HMGB1,NM_002128.5,177"
"Endogenous,KIF2C,NM_006845.2,31"
"Endogenous,RNLS,NM_001031709.2,50"
"Endogenous,RPTOR,NM_001163034.1,143"
"Endogenous,CD68,NM_001251.2,232"
"Endogenous,CCL13,NM_005408.2,11"
"Endogenous,CYBB,NM_000397.3,396"
"Endogenous,PLA2G2A,NM_000300.2,12"
"Endogenous,FGF13,NM_001139498.1,88"
"Endogenous,CNTFR,NM_147164.2,9"
"Endogenous,CD244,NM_001166663.1,18"
"Endogenous,CSF2RB,NM_000395.2,22"
"Endogenous,MAP3K7,NM_003188.3,400"
"Endogenous,FASLG,NM_000639.2,34"
"Endogenous,CD209,NM_021155.2,25"
"Endogenous,IRF7,NM_004029.2,283"
"Endogenous,PTCD2,NM_001284403.1,93"
"Endogenous,PIK3R2,NM_005027.3,169"
"Endogenous,LILRA5,NM_181879.2,26"
"Endogenous,IL32,NM_004221.4,357"
"Endogenous,CCND3,NM_001136017.2,75"
