<Header>
"FileVersion,2.0"
"SoftwareVersion,2.3.0.44"
"SystemType,Gen3"
</Header>
<Sample_Attributes>
"ID,01014"
"Owner,Administrator"
"Comments,"
"Date,20220128"
"GeneRLF,NS_IO_360_v1.0"
"SystemAPF,n6_vDV1"
"AssayType,Non Specific"
</Sample_Attributes>
<Lane_Attributes>
"ID,2"
"FovCount,194"
"FovCounted,193"
"ScannerID,1706P0203"
"StagePosition,1"
"BindingDensity,1.63"
"CartridgeID,30102613280522-01"
"CartridgeBarcode,30102613280522"
</Lane_Attributes>
<Code_Summary>
"CodeClass,Name,Accession,Count"
"Endogenous,CCNO,NM_021147.4,23"
"Endogenous,MYC,NM_002467.3,570"
"Endogenous,CD79A,NM_001783.3,49"
"Endogenous,FSTL3,NM_005860.2,751"
"Endogenous,VCAN,NM_001126336.2,15209"
"Endogenous,CX3CL1,NM_002996.3,361"
"Endogenous,ERBB2,NM_004448.2,3936"
"Endogenous,FAM124B,NM_001122779.1,97"
"Endogenous,AKT1,NM_005163.2,5862"
"Endogenous,KDR,NM_002253.2,388"
"Endogenous,EGF,NM_001178130.2,59"
"Endogenous,MAGEA12,NM_001166386.1,20"
"Endogenous,IFNA1,NM_024013.1,68"
"Endogenous,TGFB3,NM_001329938.1,872"
"Endogenous,MFGE8,NM_001114614.1,2217"
"Endogenous,CXCL2,NM_002089.1,85"
"Endogenous,CCND2,NM_001759.2,1347"
"Endogenous,PDZK1IP1,NM_005764.3,21"
"Endogenous,JAG2,NM_002226.4,54"
"Endogenous,C5,NM_001317163.1,247"
"Endogenous,CD79B,NM_001039933.1,36"
"Endogenous,CXCR2,NM_001557.3,45"
"Endogenous,PSMB10,NM_002801.3,580"
"Endogenous,ZEB1,NM_001128128.2,876"
"Endogenous,ANLN,NM_018685.2,614"
"Endogenous,TAF3,NM_031923.3,86"
"Endogenous,CD276,NM_001024736.1,3676"
"Endogenous,ICAM1,NM_000201.2,284"
"Endogenous,IL16,NM_004513.4,629"
"Endogenous,CXCL3,NM_002090.2,31"
"Endogenous,PRR5,NM_015366.3,328"
"Endogenous,CTSW,NM_001335.3,96"
"Endogenous,CXCR4,NM_001008540.1,1309"
"Endogenous,IFNGR2,NM_005534.3,1703"
"Endogenous,CDH11,NM_001797.2,4603"
"Endogenous,COL6A3,NM_004369.3,14695"
"Endogenous,GZMK,NM_002104.2,194"
"Endogenous,IRF2,NM_002199.3,526"
"Endogenous,RPL7A,NM_000972.2,12249"
"Endogenous,GPR160,NM_014373.1,1819"
"Endogenous,MICA,NM_000247.1,385"
"Endogenous,TAPBPL,NM_018009.4,343"
"Endogenous,CXCL14,NM_004887.4,783"
"Endogenous,CD14,NM_001174105.1,415"
"Endogenous,IL18,NM_001243211.1,170"
"Endogenous,CLEC14A,NM_175060.1,226"
"Endogenous,HMGB1,NM_002128.5,339"
"Endogenous,KIF2C,NM_006845.2,77"
"Endogenous,RNLS,NM_001031709.2,119"
"Endogenous,RPTOR,NM_001163034.1,385"
"Endogenous,CD68,NM_001251.2,1063"
"Endogenous,CCL13,NM_005408.2,21"
