<Header>
"FileVersion,2.0"
"SoftwareVersion,2.3.0.44"
"SystemType,Gen3"
</Header>
<Sample_Attributes>
"ID,01014-C3"
"Owner,Administrator"
"Comments,"
"Date,20220128"
"GeneRLF,NS_IO_360_v1.0"
"SystemAPF,n6_vDV1"
"AssayType,Non Specific"
</Sample_Attributes>
<Lane_Attributes>
"ID,10"
"FovCount,194"
"FovCounted,193"
"ScannerID,1706P0203"
"StagePosition,1"
"BindingDensity,0.41"
"CartridgeID,30102613280522-01"
"CartridgeBarcode,30102613280522"
</Lane_Attributes>
<Code_Summary>
"CodeClass,Name,Accession,Count"
"Endogenous,CCNO,NM_021147.4,15"
"Endogenous,MYC,NM_002467.3,125"
"Endogenous,CD79A,NM_001783.3,13"
"Endogenous,FSTL3,NM_005860.2,103"
"Endogenous,VCAN,NM_001126336.2,4576"
"Endogenous,CX3CL1,NM_002996.3,132"
"Endogenous,ERBB2,NM_004448.2,379"
"Endogenous,FAM124B,NM_001122779.1,56"
"Endogenous,AKT1,NM_005163.2,1172"
"Endogenous,KDR,NM_002253.2,144"
"Endogenous,EGF,NM_001178130.2,56"
"Endogenous,MAGEA12,NM_001166386.1,15"
"Endogenous,IFNA1,NM_024013.1,30"
"Endogenous,TGFB3,NM_001329938.1,274"
"Endogenous,MFGE8,NM_001114614.1,821"
"Endogenous,CXCL2,NM_002089.1,38"
"Endogenous,CCND2,NM_001759.2,622"
"Endogenous,PDZK1IP1,NM_005764.3,23"
"Endogenous,JAG2,NM_002226.4,25"
"Endogenous,C5,NM_001317163.1,71"
"Endogenous,CD79B,NM_001039933.1,18"
"Endogenous,CXCR2,NM_001557.3,37"
"Endogenous,PSMB10,NM_002801.3,155"
"Endogenous,ZEB1,NM_001128128.2,402"
"Endogenous,ANLN,NM_018685.2,66"
"Endogenous,TAF3,NM_031923.3,29"
"Endogenous,CD276,NM_001024736.1,904"
"Endogenous,ICAM1,NM_000201.2,92"
"Endogenous,IL16,NM_004513.4,204"
"Endogenous,CXCL3,NM_002090.2,23"
"Endogenous,PRR5,NM_015366.3,67"
"Endogenous,CTSW,NM_001335.3,24"
"Endogenous,CXCR4,NM_001008540.1,668"
"Endogenous,IFNGR2,NM_005534.3,594"
"Endogenous,CDH11,NM_001797.2,2616"
"Endogenous,COL6A3,NM_004369.3,6004"
"Endogenous,GZMK,NM_002104.2,73"
"Endogenous,IRF2,NM_002199.3,235"
"Endogenous,RPL7A,NM_000972.2,4202"
"Endogenous,GPR160,NM_014373.1,546"
"Endogenous,MICA,NM_000247.1,87"
"Endogenous,TAPBPL,NM_018009.4,122"
"Endogenous,CXCL14,NM_004887.4,613"
"Endogenous,CD14,NM_001174105.1,153"
"Endogenous,IL18,NM_001243211.1,125"
"Endogenous,CLEC14A,NM_175060.1,139"
"Endogenous,HMGB1,NM_002128.5,100"
"Endogenous,KIF2C,NM_006845.2,28"
"Endogenous,RNLS,NM_001031709.2,57"
"Endogenous,RPTOR,NM_001163034.1,112"
